pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,fgcc
2398,2021-07-13,0,0,FLP376,FLIP,3,100,22,0.14588595865846907
2399,2021-07-13,0,0,VVL099,Vavilov,3,100,23,0.0491542009465916
2400,2021-07-13,0,0,FLP200,FLIP,3,100,24,0.11416758748161183
2401,2021-07-13,0,0,INT048,Introgression,3,101,1,0.04656068751389745
2402,2021-07-13,0,0,FLP108,FLIP,3,101,2,0.12659525338131614
2403,2021-07-13,0,0,FLP134,FLIP,3,101,3,0.12575724712528596
2404,2021-07-13,0,0,FLP563,FLIP,3,101,4,0.15175862700606388
2425,2021-07-13,0,0,FLP281,FLIP,3,102,1,0.06602031895333316
2426,2021-07-13,0,0,VVL046,Vavilov,3,102,2,0.20241660202474124
2427,2021-07-13,0,0,VVL184,Vavilov,3,102,3,0.19748130826393115
2428,2021-07-13,0,0,FLP437,FLIP,3,102,4,0.1233922808533273
2449,2021-07-13,1,8.446305133060301e-4,FLP311,FLIP,3,103,1,0.03378192017886036
2450,2021-07-13,0,0,FLP398,FLIP,3,103,2,0.13788018347734293
2451,2021-07-13,0,0,INT039,Introgression,3,103,3,0.04410297746656787
2452,2021-07-13,1,2.649811554177059e-4,FLP124,FLIP,3,103,4,0.21126038346189752
2473,2021-07-13,0,0,FLP163,FLIP,3,104,1,0.1637888195827499
2474,2021-07-13,0,0,FLP198,FLIP,3,104,2,0.153328646631986
2475,2021-07-13,0,0,FLP459,FLIP,3,104,3,0.05577875633022929
2476,2021-07-13,0,0,FLP478,FLIP,3,104,4,0.1568827205953076
2405,2021-07-13,0,0,FLP302,FLIP,3,101,5,0.15470986642947446
2406,2021-07-13,0,0,VVL161,Vavilov,3,101,6,0.14346137138805767
2407,2021-07-13,0,0,VVL029,Vavilov,3,101,7,0.1874186086361855
2408,2021-07-13,0,0,FLP602,FLIP,3,101,8,0.11512814801223928
2429,2021-07-13,0,0,FLP177,FLIP,3,102,5,0.08065396179578879
2430,2021-07-13,0,0,VVL166,Vavilov,3,102,6,0.12634020799904608
2431,2021-07-13,0,0,FLP195,FLIP,3,102,7,0.16498786410718833
2432,2021-07-13,0,0,FLP348,FLIP,3,102,8,0.2184480260531444
2453,2021-07-13,0,0,FLP254,FLIP,3,103,5,0.06614618550562226
2454,2021-07-13,0,0,VVL005,Vavilov,3,103,6,0.1995812923205443
2455,2021-07-13,0,0,FLP124,FLIP,3,103,7,0.1445742966925088
2456,2021-07-13,0,0,FLP316,FLIP,3,103,8,0.1457137202184945
2477,2021-07-13,0,0,FLP284,FLIP,3,104,5,0.14455111074866606
2478,2021-07-13,0,0,FLP069,FLIP,3,104,6,0.11721819523577698
2479,2021-07-13,0,0,INT037,Introgression,3,104,7,0.05360590216439613
2480,2021-07-13,0,0,FLP273,FLIP,3,104,8,0.13046730600305234
2409,2021-07-13,0,0,VVL031,Vavilov,3,101,9,0.02474602663557856
2410,2021-07-13,0,0,FLP097,FLIP,3,101,10,0.1282944518372192
2411,2021-07-13,0,0,VVL068,Vavilov,3,101,11,0.1252736545822804
2412,2021-07-13,0,0,FLP333,FLIP,3,101,12,0.14484259118554613
2433,2021-07-13,0,0,FLP387,FLIP,3,102,9,0.15663098749072937
2434,2021-07-13,0,0,FLP148,FLIP,3,102,10,0.14778058149818943
2435,2021-07-13,0,0,FLP591,FLIP,3,102,11,0.13194458185360355
2436,2021-07-13,0,0,FLP549,FLIP,3,102,12,0.1224615308219262
2457,2021-07-13,0,0,FLP300,FLIP,3,103,9,0.13630022701834532
2458,2021-07-13,0,0,VVL114,Vavilov,3,103,10,0.15030122482166358
2459,2021-07-13,0,0,FLP461,FLIP,3,103,11,0.06504319703424659
2460,2021-07-13,0,0,FLP172,FLIP,3,103,12,0.1675681284291152
2481,2021-07-13,0,0,INT047,Introgression,3,104,9,0.02077791796077959
2482,2021-07-13,0,0,FLP262,FLIP,3,104,10,0.1558625390662274
2483,2021-07-13,0,0,FLP539,FLIP,3,104,11,0.10607900535819022
2484,2021-07-13,0,0,VVL109,Vavilov,3,104,12,0.14542555205930624
2413,2021-07-13,0,0,FLP448,FLIP,3,101,13,0.0715849454755888
2414,2021-07-13,0,0,FLP248,FLIP,3,101,14,0.14718437151366204
2415,2021-07-13,0,0,FLP604,FLIP,3,101,15,0.14823767581966044
2416,2021-07-13,0,0,FLP140,FLIP,3,101,16,0.12092463397292227
2437,2021-07-13,2,5.398993916687045e-4,VVL168,Vavilov,3,102,13,0.06024370665880109
2438,2021-07-13,0,0,VVL079,Vavilov,3,102,14,0.04079069977474903
2439,2021-07-13,1,2.3848303987593532e-4,FLP584,FLIP,3,102,15,0.12180238756125426
2440,2021-07-13,0,0,FLP250,FLIP,3,102,16,0.1798202436111531
2461,2021-07-13,0,0,FLP298,FLIP,3,103,13,0.05476851163422455
2462,2021-07-13,0,0,FLP375,FLIP,3,103,14,0.1897802626304523
2463,2021-07-13,0,0,FLP098,FLIP,3,103,15,0.16276532577597788
2464,2021-07-13,0,0,FLP507,FLIP,3,103,16,0.15412690555571434
2485,2021-07-13,0,0,FLP110,FLIP,3,104,13,0.09068353864661624
2486,2021-07-13,0,0,FLP052,FLIP,3,104,14,0.0758379100318842
2487,2021-07-13,0,0,FLP051,FLIP,3,104,15,0.1878392679030465
2488,2021-07-13,0,0,FLP070,FLIP,3,104,16,0.25143499958596827
2417,2021-07-13,1,3.1797738650124707e-4,VVL006,Vavilov,3,101,17,0.1059697001943602
2418,2021-07-13,0,0,VVL042,Vavilov,3,101,18,0.07244282539776989
2419,2021-07-13,1,7.154515839574798e-4,FLP099,FLIP,3,101,19,0.04360944809048687
2420,2021-07-13,0,0,INT044,Introgression,3,101,20,0.02157617688450793
2441,2021-07-13,0,0,VVL093,Vavilov,3,102,17,0.16173520741382222
2442,2021-07-13,0,0,VVL081,Vavilov,3,102,18,0.1242170379985902
2443,2021-07-13,0,0,FLP307,FLIP,3,102,19,0.03278161231593107
2444,2021-07-13,0,0,FLP349,FLIP,3,102,20,0.17715386006923892
2465,2021-07-13,0,0,VVL209,Vavilov,3,103,17,0.08895452969148682
2466,2021-07-13,0,0,FLP240,FLIP,3,103,18,0.10964632843227912
2467,2021-07-13,0,0,FLP554,FLIP,3,103,19,0.11265387657645062
2468,2021-07-13,0,0,VVL054,Vavilov,3,103,20,0.08871935797536767
2489,2021-07-13,0,0,FLP354,FLIP,3,104,17,0.17227487502918978
2490,2021-07-13,0,0,FLP129,FLIP,3,104,18,0.08897771563532954
2491,2021-07-13,0,0,FLP543,FLIP,3,104,19,0.17037031535639394
2492,2021-07-13,0,0,VVL165,Vavilov,3,104,20,0.05652070653319671
2421,2021-07-13,1,3.279141798294111e-4,FLP545,FLIP,3,101,21,0.06148912307092497
2422,2021-07-13,0,0,FLP467,FLIP,3,101,22,0.09417799161148512
2423,2021-07-13,0,0,FLP232,FLIP,3,101,23,0.11828474865254264
2424,2021-07-13,0,0,VVL136,Vavilov,3,101,24,0.08445976886368864
2445,2021-07-13,0,0,FLP227,FLIP,3,102,21,0.12798309773418823
2446,2021-07-13,0,0,FLP537,FLIP,3,102,22,0.09239598621328658
2447,2021-07-13,0,0,FLP313,FLIP,3,102,23,0.02390802037954839
2448,2021-07-13,0,0,VVL080,Vavilov,3,102,24,0.15289473825435773
2469,2021-07-13,0,0,FLP423,FLIP,3,103,21,0.15015548460322353
2470,2021-07-13,0,0,FLP153,FLIP,3,103,22,0.2297992017030076
2471,2021-07-13,0,0,FLP245,FLIP,3,103,23,0.11383967199012177
2472,2021-07-13,0,0,FLP585,FLIP,3,103,24,0.1626295223906133
2493,2021-07-13,0,0,FLP251,FLIP,3,104,21,0.11701614629657604
2494,2021-07-13,1,3.643490886993456e-4,INT040,Introgression,3,104,22,0.06062461859336025
2495,2021-07-13,0,0,FLP045,FLIP,3,104,23,0.09456221582373613
2496,2021-07-13,0,0,FLP355,FLIP,3,104,24,0.1568131627637794
2497,2021-07-13,0,0,FLP119,FLIP,3,105,1,0.09355197112773136
2498,2021-07-13,0,0,VVL149,Vavilov,3,105,2,0.10590676691821564
2499,2021-07-13,0,0,FLP531,FLIP,3,105,3,0.13428304990402765
2500,2021-07-13,0,0,FLP439,FLIP,3,105,4,0.1602248087863528
2501,2021-07-13,0,0,VVL138,Vavilov,3,105,5,0.04418247213117152
