pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,canon_fgcc
1,2022-06-28,0,0,FLP609,FLIP,1,1,1,0.02113564395149602
10,2022-06-28,0,0,FLP612,FLIP,1,1,10,0.03288760520206928
100,2022-06-28,0,0,FLP652,FLIP,1,5,4,0.04847187174207693
1000,2022-06-28,0,0,FLP929,FLIP,2,42,16,0.02443136025485577
1001,2022-06-28,0,0,WLD241,Wild cicer,2,42,17,0.00167270023436851
1002,2022-06-28,0,0,FLP956,FLIP,2,42,18,0.01408711702330553
1003,2022-06-28,0,0,WLD170,Wild cicer,2,42,19,0.00578323684991569
1004,2022-06-28,0,0,FLP815,FLIP,2,42,20,0.02281828101893999
1005,2022-06-28,0,0,FLP091,FLIP,2,42,21,0.04886272050971155
1006,2022-06-28,0,0,WLD130,Wild cicer,2,42,22,0.00602834539911029
1007,2022-06-28,0,0,FLP496,FLIP,2,42,23,0.04023423712252347
1008,2022-06-28,0,0,FLP292,FLIP,2,42,24,0.03408002517112406
1009,2022-06-28,0,0,FLP216,FLIP,2,43,1,0.02750846623055548
101,2022-06-28,0,0,VVL001,Vavilov,1,5,5,0.01660444806908785
1010,2022-06-28,1,3.974717331265588e-4,INT082,Introgression,2,43,2,0.02939646451489222
1011,2022-06-28,0,0,WLD153,Wild cicer,2,43,3,0.0042893996109054
1012,2022-06-28,0,0,FLP716,FLIP,2,43,4,0.0256138433908351
1013,2022-06-28,0,0,CVR034,Cultivar,2,43,5,0.01424610635251283
1014,2022-06-28,0,0,WLD188,Wild cicer,2,43,6,0.0018118158974249
1015,2022-06-28,0,0,INT069,Introgression,2,43,7,0.03917430826114144
1016,2022-06-28,0,0,FLP531,FLIP,2,43,8,0.02521305779012502
1017,2022-06-28,0,0,FLP873,FLIP,2,43,9,0.04049259478248534
1018,2022-06-28,0,0,FLP615,FLIP,2,43,10,0.05247972774917772
1019,2022-06-28,0,0,WLD227,Wild cicer,2,43,11,0.02001609409166126
102,2022-06-28,0,0,FLP653,FLIP,1,5,6,0.00306716914262424
1020,2022-06-28,0,0,FLP804,FLIP,2,43,12,0.04846855946438511
1021,2022-06-28,0,0,WLD179,Wild cicer,2,43,13,6.69080093747406e-4
1022,2022-06-28,0,0,FLP850,FLIP,2,43,14,0.05751438984074236
1023,2022-06-28,0,0,INT045,Introgression,2,43,15,0.04054890350324626
1024,2022-06-28,0,0,FLP812,FLIP,2,43,16,0.03522607325249338
1025,2022-06-28,0,0,FLP685,FLIP,2,43,17,0.01854213051880187
1026,2022-06-28,0,0,FLP692,FLIP,2,43,18,0.04631226668701104
1027,2022-06-28,0,0,FLP752,FLIP,2,43,19,0.05884592547285354
1028,2022-06-28,0,0,FLP417,FLIP,2,43,20,0.04313579238055677
1029,2022-06-28,0,0,FLP809,FLIP,2,43,21,0.02091372134614416
103,2022-06-28,0,0,FLP654,FLIP,1,5,7,0.02529586473242049
1030,2022-06-28,0,0,WLD275,Wild cicer,2,43,22,0.0104436115623048
1031,2022-06-28,0,0,FLP767,FLIP,2,43,23,0.01656470073678602
1032,2022-06-28,0,0,VVL015,Vavilov,2,43,24,0.01735633510513073
1033,2022-06-28,0,0,FLP397,FLIP,2,44,1,0.0054685704691929
1034,2022-06-28,0,0,WLD146,Wild cicer,2,44,2,0.02506731757168499
1035,2022-06-28,0,0,FLP421,FLIP,2,44,3,0.03550761685629798
1036,2022-06-28,0,0,WLD209,Wild cicer,2,44,4,0.00728701092200145
1037,2022-06-28,0,0,VVL003,Vavilov,2,44,5,0.01006269962774564
1038,2022-06-28,0,0,FLP824,FLIP,2,44,6,0.03958171841723516
1039,2022-06-28,0,0,FLP715,FLIP,2,44,7,0.04075095244244721
104,2022-06-28,0,0,WLD156,Wild cicer,1,5,8,0
1040,2022-06-28,0,0,FLP207,FLIP,2,44,8,0.05783236849915697
1041,2022-06-28,0,0,FLP379,FLIP,2,44,9,0.05501693246111096
1042,2022-06-28,0,0,WLD282,Wild cicer,2,44,10,0.00647219060981401
1043,2022-06-28,0,0,WLD187,Wild cicer,2,44,11,0.00482930087467187
1044,2022-06-28,0,0,FLP286,FLIP,2,44,12,0.06828591689453724
1045,2022-06-28,0,0,FLP705,FLIP,2,44,13,0.01718740894284796
1046,2022-06-28,0,0,FLP435,FLIP,2,44,14,0.03095654730773889
1047,2022-06-28,0,0,FLP616,FLIP,2,44,15,0.04431496323884428
1048,2022-06-28,0,0,WLD201,Wild cicer,2,44,16,0.00516052864385375
1049,2022-06-28,0,0,FLP822,FLIP,2,44,17,0.04891240467508883
105,2022-06-28,0,0,FLP655,FLIP,1,5,9,0.01248397462046521
1050,2022-06-28,0,0,WLD236,Wild cicer,2,44,18,0.00676698332438589
1051,2022-06-28,0,0,WLD167,Wild cicer,2,44,19,0.00543875996996653
1052,2022-06-28,0,0,WLD184,Wild cicer,2,44,20,0
1053,2022-06-28,0,0,FLP579,FLIP,2,44,21,0.03067169142624247
1054,2022-06-28,0,0,FLP187,FLIP,2,44,22,0.02168879432602977
1055,2022-06-28,0,0,WLD219,Wild cicer,2,44,23,0.00329571630335974
1056,2022-06-28,0,0,Genesis090,Cultivar,2,44,24,0.04184400408074743
1057,2022-06-28,0,0,FLP583,FLIP,2,45,1,0.00702865326203958
1058,2022-06-28,0,0,FLP475,FLIP,2,45,2,0.01289469705425075
1059,2022-06-28,0,0,FLP656,FLIP,2,45,3,0.02322900345272553
106,2022-06-28,0,0,FLP656,FLIP,1,5,10,0.02358672944344197
1060,2022-06-28,0,0,WLD213,Wild cicer,2,45,4,8.313817006465293e-4
1061,2022-06-28,0,0,VVL008,Vavilov,2,45,5,0.04729270088378942
1062,2022-06-28,0,0,WLD268,Wild cicer,2,45,6,0.00766129830117698
1063,2022-06-28,0,0,INT060,Introgression,2,45,7,0.03178130445300178
1064,2022-06-28,0,0,FLP914,FLIP,2,45,8,0.025560846947766
1065,2022-06-28,0,0,FLP844,FLIP,2,45,9,0.03716706797989922
1066,2022-06-28,0,0,FLP419,FLIP,2,45,10,0.07216128179396528
1067,2022-06-28,0,0,FLP932,FLIP,2,45,11,0.03194360605990091
1068,2022-06-28,1,5.167132530645264e-4,OTH003,Other,2,45,12,0.01748882621280348
1069,2022-06-28,0,0,FLP928,FLIP,2,45,13,0.04217523184992931
107,2022-06-28,0,0,FLP563,FLIP,1,5,11,0.03389122534269039
1070,2022-06-28,0,0,FLP900,FLIP,2,45,14,0.01139754753754863
1071,2022-06-28,0,0,FLP683,FLIP,2,45,15,0.02257979702512904
1072,2022-06-28,0,0,FLP895,FLIP,2,45,16,0.03119171902385803
1073,2022-06-28,0,0,FLP814,FLIP,2,45,17,0.01458727095477017
1074,2022-06-28,0,0,FLP649,FLIP,2,45,18,0.010049450516978361
1075,2022-06-28,0,0,WLD263,Wild cicer,2,45,19,0.00351432663101979
1076,2022-06-28,0,0,WLD224,Wild cicer,2,45,20,0.00577992457222387
1077,2022-06-28,0,0,FLP703,FLIP,2,45,21,0.0230832632342855
1078,2022-06-28,0,0,FLP605,FLIP,2,45,22,0.01287482338809983
1079,2022-06-28,0,0,FLP434,FLIP,2,45,23,0.02749190484209638
108,2022-06-28,1,7.949465466652102e-4,WLD157,Wild cicer,1,5,12,0.01370289281105454
1080,2022-06-28,1,2.086726598914434e-4,WLD220,Wild cicer,2,45,24,0.00317978658414608
1081,2022-06-28,0,0,WLD234,Wild cicer,2,46,1,0.00299429903340423
1082,2022-06-28,0,0,FLP063,FLIP,2,46,2,0.02738922423365
1083,2022-06-28,0,0,WLD173,Wild cicer,2,46,3,0
1084,2022-06-28,0,0,FLP746,FLIP,2,46,4,0.04117823626469184
1085,2022-06-28,0,0,FLP664,FLIP,2,46,5,0.03396078317421858
1086,2022-06-28,0,0,WLD164,Wild cicer,2,46,6,0.00417015761399992
1087,2022-06-28,0,0,FLP182,FLIP,2,46,7,0.03338775913353392
1088,2022-06-28,0,0,FLP725,FLIP,2,46,8,0.02022145530855403
1089,2022-06-28,0,0,VVL004,Vavilov,2,46,9,0.03299359808820748
109,2022-06-28,0,0,FLP489,FLIP,1,5,13,0.03705445053837738
1090,2022-06-28,0,0,FLP066,FLIP,2,46,10,0.03196679200374364
1091,2022-06-28,0,0,FLP543,FLIP,2,46,11,0.02970450634023137
1092,2022-06-28,0,0,FLP749,FLIP,2,46,12,0.03750492030446474
1093,2022-06-28,0,0,FLP783,FLIP,2,46,13,0
1094,2022-06-28,0,0,FLP934,FLIP,2,46,14,0.03686896298763553
1095,2022-06-28,0,0,FLP887,FLIP,2,46,15,0
1096,2022-06-28,0,0,FLP322,FLIP,2,46,16,0.02048312524620771
1097,2022-06-28,0,0,WLD134,Wild cicer,2,46,17,0
1098,2022-06-28,0,0,FLP756,FLIP,2,46,18,0.03181111495222815
1099,2022-06-28,0,0,FLP634,FLIP,2,46,19,0.00150046179439393
11,2022-06-28,0,0,WLD136,Wild cicer,1,1,11,0.00442520299626997
110,2022-06-28,0,0,FLP657,FLIP,1,5,14,0.07160481914173972
1100,2022-06-28,2,7.585085573831831e-4,WLD235,Wild cicer,2,46,20,0.01001632774006017
1101,2022-06-28,0,0,FLP896,FLIP,2,46,21,0.014938372390102969
1102,2022-06-28,0,0,FLP674,FLIP,2,46,22,0.05045923835716823
1103,2022-06-28,0,0,FLP940,FLIP,2,46,23,0.03546455724630434
1104,2022-06-28,0,0,WLD253,Wild cicer,2,46,24,0.00385880351096895
1105,2022-06-28,0,0,FLP106,FLIP,2,47,1,0.01542196493310852
1106,2022-06-28,0,0,WLD169,Wild cicer,2,47,2,0.00108642708291658
1107,2022-06-28,0,0,FLP420,FLIP,2,47,3,0.01676674967598697
1108,2022-06-28,0,0,FLP833,FLIP,2,47,4,0.04047934567171806
1109,2022-06-28,0,0,FLP276,FLIP,2,47,5,0.03088036492082706
111,2022-06-28,0,0,INT043,Introgression,1,5,15,0.04627251935470922
1110,2022-06-28,0,0,VVL002,Vavilov,2,47,6,0.05731234090154141
1111,2022-06-28,0,0,FLP839,FLIP,2,47,7,0.0253852962300996
1112,2022-06-28,0,0,INT086,Introgression,2,47,8,0.04146971670157189
1113,2022-06-28,0,0,FLP800,FLIP,2,47,9,0.05241348219534135
1114,2022-06-28,1,0.0012917862130734,FLP806,FLIP,2,47,10,0.01667400590061605
1115,2022-06-28,0,0,WLD163,Wild cicer,2,47,11,0.0137658260871991
1116,2022-06-28,0,0,CVR032,Cultivar,2,47,12,0.03363949223811215
1117,2022-06-28,0,0,FLP643,FLIP,2,47,13,0.00987389979931196
1118,2022-06-28,0,0,FLP375,FLIP,2,47,14,0.02145693488760245
1119,2022-06-28,0,0,FLP393,FLIP,2,47,15,0.0250341947947668
112,2022-06-28,2,4.537802286528214e-4,CVR143,Cultivar,1,5,16,0.037299559087571967
1120,2022-06-28,0,0,FLP885,FLIP,2,47,16,0.01940332271867477
1121,2022-06-28,0,0,WLD267,Wild cicer,2,47,17,0.00329902858105156
1122,2022-06-28,0,0,WLD210,Wild cicer,2,47,18,0.00322947074952337
1123,2022-06-28,0,0,FLP666,FLIP,2,47,19,0.05894198152591629
1124,2022-06-28,0,0,WLD270,Wild cicer,2,47,20,0
1125,2022-06-28,0,0,WLD218,Wild cicer,2,47,21,0.01767762604123715
1126,2022-06-28,0,0,WLD276,Wild cicer,2,47,22,0.00790971912806339
1127,2022-06-28,0,0,FLP682,FLIP,2,47,23,0.00654506071903403
1128,2022-06-28,0,0,WLD249,Wild cicer,2,47,24,0.00264319759807143
1129,2022-06-28,0,0,WLD155,Wild cicer,2,48,1,0.00603165767680211
113,2022-06-28,0,0,FLP543,FLIP,1,5,17,0.05067784868482827
1130,2022-06-28,0,0,FLP624,FLIP,2,48,2,0.02588545016156424
1131,2022-06-28,0,0,FLP955,FLIP,2,48,3,0.01561407703923402
1132,2022-06-28,0,0,FLP832,FLIP,2,48,4,0.0223446253090099
1133,2022-06-28,0,0,FLP696,FLIP,2,48,5,0.0724825727300717
1134,2022-06-28,0,0,FLP345,FLIP,2,48,6,0.05923346196279634
1135,2022-06-28,0,0,FLP719,FLIP,2,48,7,0.06326119163604806
1136,2022-06-28,0,0,FLP840,FLIP,2,48,8,0.02745215750979456
1137,2022-06-28,0,0,FLP708,FLIP,2,48,9,0.03245038454674919
1138,2022-06-28,0,0,FLP776,FLIP,2,48,10,0
1139,2022-06-28,0,0,FLP922,FLIP,2,48,11,0.04536495526715085
114,2022-06-28,0,0,FLP419,FLIP,1,5,18,0.06112808480251672
1140,2022-06-28,0,0,FLP202,FLIP,2,48,12,0.02323894028580099
1141,2022-06-28,0,0,WLD137,Wild cicer,2,48,13,0
1142,2022-06-28,0,0,WLD272,Wild cicer,2,48,14,0.00351763890871161
1143,2022-06-28,0,0,FLP825,FLIP,2,48,15,0.02085741262538324
1144,2022-06-28,0,0,FLP673,FLIP,2,48,16,0.02078123023847141
1145,2022-06-28,0,0,INT078,Introgression,2,48,17,0.02946602234642041
1146,2022-06-28,1,7.452594996122978e-4,FLP143,FLIP,2,48,18,0.0544439084204263
1147,2022-06-28,0,0,FLP968,FLIP,2,48,19,0.02786287994358009
1148,2022-06-28,0,0,FLP085,FLIP,2,48,20,0.0371803170906665
1149,2022-06-28,0,0,FLP723,FLIP,2,48,21,0.01066553416765667
115,2022-06-28,0,0,FLP658,FLIP,1,5,19,0.01238791856740246
1150,2022-06-28,0,0,FLP747,FLIP,2,48,22,0.02897249297033941
1151,2022-06-28,0,0,FLP872,FLIP,2,48,23,0.02110583345226966
1152,2022-06-28,0,0,FLP195,FLIP,2,48,24,0.02204320803905439
1153,2022-06-28,0,0,FLP867,FLIP,2,49,1,0.0233283717834801
1154,2022-06-28,0,0,FLP669,FLIP,2,49,2,0.01073509199918486
1155,2022-06-28,0,0,FLP693,FLIP,2,49,3,0
1156,2022-06-28,0,0,FLP856,FLIP,2,49,4,0.06452316943663103
1157,2022-06-28,0,0,WLD228,Wild cicer,2,49,5,0
1158,2022-06-28,0,0,FLP778,FLIP,2,49,6,0
1159,2022-06-28,0,0,WLD206,Wild cicer,2,49,7,0.001371282964413
116,2022-06-28,0,0,VVL002,Vavilov,1,5,20,0.05813709804680431
1160,2022-06-28,0,0,WLD147,Wild cicer,2,49,8,0.00426290138937084
1161,2022-06-28,0,0,FLP771,FLIP,2,49,9,0.04037335278557986
1162,2022-06-28,0,0,FLP686,FLIP,2,49,10,0.02324225256349281
1163,2022-06-28,0,0,INT046,Introgression,2,49,11,0.03326520485893662
1164,2022-06-28,0,0,WLD217,Wild cicer,2,49,12,0.00308373053108334
1165,2022-06-28,0,0,INT056,Introgression,2,49,13,0.00943336686630006
1166,2022-06-28,0,0,FLP744,FLIP,2,49,14,0.02030757452854131
1167,2022-06-28,0,0,FLP527,FLIP,2,49,15,0.03660729304998184
1168,2022-06-28,0,0,WLD221,Wild cicer,2,49,16,0.01059266405843665
1169,2022-06-28,0,0,WLD185,Wild cicer,2,49,17,5.928977068355726e-4
117,2022-06-28,0,0,FLP659,FLIP,1,5,21,0.01663425856831422
1170,2022-06-28,0,0,FLP563,FLIP,2,49,18,0.02744553295441092
1171,2022-06-28,0,0,CVR217,Cultivar,2,49,19,0.05041286646948276
1172,2022-06-28,0,0,INT061,Introgression,2,49,20,0.02798212194048557
1173,2022-06-28,0,0,VVL011,Vavilov,2,49,21,0.02604775176846337
1174,2022-06-28,0,0,FLP792,FLIP,2,49,22,0.00750230897196967
1175,2022-06-28,0,0,FLP807,FLIP,2,49,23,0.02625311298535614
1176,2022-06-28,0,0,FLP730,FLIP,2,49,24,0.02590201155002334
1177,2022-06-28,0,0,WLD281,Wild cicer,2,50,1,0.0100395136839029
1178,2022-06-28,0,0,FLP925,FLIP,2,50,2,0.02703149824293356
1179,2022-06-28,0,0,FLP866,FLIP,2,50,3,0.0422083546268475
118,2022-06-28,0,0,FLP579,FLIP,1,5,22,0.03717700481297468
1180,2022-06-28,0,0,FLP697,FLIP,2,50,4,0.05908772174435631
1181,2022-06-28,0,0,FLP722,FLIP,2,50,5,0.03163887651225357
1182,2022-06-28,0,0,WLD262,Wild cicer,2,50,6,0.00467362382315638
1183,2022-06-28,0,0,WLD208,Wild cicer,2,50,7,0.00357063535178071
1184,2022-06-28,3,0.00140109463619045,CVR195,Cultivar,2,50,8,0.03527244514017885
1185,2022-06-28,0,0,WLD257,Wild cicer,2,50,9,0.00550831780149473
1186,2022-06-28,1,1.1924201280441175e-4,INT080,Introgression,2,50,10,0.04116498715392456
1187,2022-06-28,0,0,INT072,Introgression,2,50,11,0.02604112721307973
1188,2022-06-28,0,0,FLP157,FLIP,2,50,12,0.05369864593976706
1189,2022-06-28,0,0,INT096,Introgression,2,50,13,0.04015805473561163
119,2022-06-28,0,0,FLP443,FLIP,1,5,23,0.03880995771504136
1190,2022-06-28,0,0,FLP363,FLIP,2,50,14,0.04018455295714619
1191,2022-06-28,0,0,FLP868,FLIP,2,50,15,0.05061491540868371
1192,2022-06-28,0,0,FLP972,FLIP,2,50,16,0.01836989207882729
