pot,di
1A,NA
2A,57.5
3A,31.25
4A,42.5
5A,67.5
6A,77.5
7A,NA
8A,55
9A,25
10A,45
11A,30
12A,42.5
13A,10
14A,6.25
15A,77.5
16A,92.5
17A,50
18A,50
19A,50
20A,81.25
21A,18.75
22A,26.25
23A,32.5
24A,60
25A,52.5
26A,47.5
27A,32.5
28A,36.25
29A,37.5
30A,100
31A,10
32A,3.75
33A,12.5
34A,7.5
35A,11.25
36A,10
37A,0
38A,NA
39A,5
40A,5
41A,8.75
42A,3.75
43A,12.5
44A,0
45A,15
46A,20
47A,6.25
48A,3.75
49A,5
50A,NA
51A,2.5
52A,0
53A,23.75
54A,12.5
55A,11.25
56A,1.25
57A,28.75
58A,13.75
59A,2.5
60A,2.5
61A,13.75
62A,12.5
63A,6.25
64A,0
65A,8.75
66A,6.25
67A,11.25
68A,25
69A,7.5
70A,16.25
71A,0
72A,2.5
73A,5
74A,18.75
75A,5
76A,NA
77A,11.25
78A,13.75
79A,1.25
80A,6.25
81A,7.5
82A,10
83A,27.5
84A,22.5
85A,0
86A,25
87A,7.5
88A,5
89A,7.5
90A,NA
91A,10
92A,42.5
93A,50
94A,8.75
95A,100
96A,60
97A,50
98A,27.5
99A,13.75
100A,60
101A,35
102A,60
103A,8.75
104A,90
105A,75
106A,62.5
107A,NA
108A,37.5
109A,15
110A,25
111A,75
112A,10
113A,57.5
114A,45
115A,37.5
116A,52.5
117A,33.75
118A,40
119A,33.75
120A,40
121A,7.5
122A,57.5
123A,45
124A,30
125A,45
126A,42.5
127A,52.5
128A,56.25
129A,40
130A,85
131A,45
132A,45
133A,55
134A,22.5
135A,75
136A,52.5
137A,52.5
138A,32.5
139A,35
140A,40
141A,32.5
142A,38.75
143A,NA
144A,10
145A,65
146A,47.5
147A,32.5
148A,100
149A,NA
150A,77.5
151A,NA
152A,7.5
153A,15
154A,5
155A,5
156A,0
157A,23.75
158A,8.75
159A,15
160A,5
161A,5
162A,3.75
163A,10
164A,25
165A,11.25
166A,5
167A,2.5
168A,15
169A,6.25
170A,12.5
171A,11.25
172A,0
173A,7.5
174A,0
175A,22.5
176A,15
177A,16.25
178A,10
179A,11.25
180A,5
1,67.5
2,50
3,100
4,100
5,100
6,55
7,100
8,100
9,51.25
10,100
11,100
12,100
13,42.5
14,NA
15,62.5
16,33.75
17,52.5
18,62.5
19,100
20,45
21,60
22,100
23,32.5
24,33.75
25,50
26,100
27,85
28,62.5
29,20
30,100
31,65
32,60
33,57.5
34,50
35,35
36,52.5
37,70
38,80
39,85
40,67.5
41,47.5
42,100
43,70
44,33.75
45,100
46,100
47,50
48,55
49,77.5
50,82.5
51,100
52,25
53,47.5
54,100
55,46.25
56,100
57,48.75
58,31.25
59,41.25
60,55
61,20
62,22.5
63,82.5
64,18.75
65,100
66,100
67,75
68,46.25
69,50
70,100
71,100
72,67.5
73,77.5
74,55
75,85
76,38.75
77,67.5
78,55
79,NA
80,85
81,100
82,100
83,45
84,82.5
85,100
86,37.5
87,22.5
88,NA
89,40
90,100
91,65
92,62.5
93,100
94,70
95,55
96,NA
97,100
98,85
99,37.5
100,65
101,65
102,62.5
103,100
104,100
105,78.75
106,40
107,75
108,62.5
109,40
110,62.5
111,40
112,38.75
113,33.75
114,46.25
115,100
116,100
117,42.5
118,22.5
119,45
120,52.5
121,35
122,100
123,80
124,100
125,100
126,60
127,100
128,100
129,57.5
130,100
131,30
132,70
133,40
134,67.5
135,90
136,100
137,55
138,37.5
139,57.5
140,77.5
141,50
142,52.5
143,40
144,26.25
145,62.5
146,73.75
147,55
148,65
149,22.5
150,35
151,52.5
152,100
153,100
154,62.5
155,42.5
156,37.5
157,100
158,65
159,72.5
160,100
161,82.5
162,78.75
163,65
164,78.75
165,NA
166,52.5
167,45
168,100
169,87.5
170,90
171,45
172,45
173,78.75
174,NA
175,100
176,90
177,65
178,65
179,57.5
180,47.5
181,95
182,57.5
183,100
184,75
185,45
186,100
187,47.5
188,72.5
189,87.5
190,100
191,100
192,100
193,100
194,23.75
195,37.5
196,100
197,30
198,100
199,100
200,65
201,NA
202,38.75
203,100
204,11.25
205,55
206,100
207,100
208,42.5
209,55
210,100
211,90
212,60
213,37.5
214,62.5
215,100
216,40
217,100
218,100
219,52.5
220,50
221,36.25
222,85
223,NA
224,100
225,100
226,72.5
227,35
228,15
229,100
230,NA
231,100
232,50
233,57.5
234,100
235,65
236,100
237,32.5
238,55
239,NA
240,66.25
241,37.5
242,100
243,43.75
244,70
245,72.5
246,70
247,43.75
248,30
249,100
250,92.5
251,47.5
252,100
253,15
254,100
255,90
256,38.75
257,70
258,77.5
259,52.5
260,82.5
261,NA
262,28.75
263,68.75
264,26.25
265,100
266,100
267,87.5
268,36.25
269,NA
270,100
271,100
272,62.5
273,72.5
274,85
275,92.5
276,40
277,46.25
278,50
279,100
280,60
281,52.5
282,100
283,41.25
284,100
285,50
286,100
287,67.5
288,65
289,40
290,62.5
291,52.5
292,100
293,60
294,67.5
295,100
296,62.5
297,65
298,67.5
299,100
300,50
301,43.75
302,62.5
303,72.5
304,45
305,36.25
306,37.5
307,100
308,47.5
309,85
310,62.5
311,55
312,100
313,37.5
314,100
315,NA
316,80
317,42.5
318,100
319,73.75
320,70
321,47.5
322,50
323,52.5
324,35
325,100
326,100
327,90
328,80
329,NA
330,67.5
331,100
332,100
333,60
334,55
335,57.5
336,100
337,57.5
338,100
339,100
340,65
341,57.5
342,47.5
343,100
344,55
345,78.75
346,100
347,28.75
348,87.5
349,62.5
350,85
351,45
352,45
353,80
354,100
355,50
356,92.5
357,52.5
358,47.5
359,100
360,72.5
361,NA
362,92.5
363,NA
364,50
365,32.5
366,50
367,67.5
368,100
369,55
370,NA
371,52.5
372,42.5
373,45
374,40
375,27.5
376,72.5
377,33.75
378,45
379,100
380,100
381,23.75
382,16.25
383,57.5
384,100
385,62.5
386,100
387,87.5
388,70
389,57.5
390,71.25
391,100
392,50
393,67.5
394,87.5
395,100
396,38.75
397,31.25
398,87.5
399,62.5
400,62.5
401,40
402,40
403,45
404,100
405,NA
406,25
407,57.5
408,35
409,35
410,100
411,45
412,85
413,65
414,67.5
415,100
416,100
417,100
418,67.5
419,72.5
420,70
421,80
422,100
423,22.5
424,62.5
425,40
426,52.5
427,70
428,50
429,50
430,46.25
431,21.25
432,100
433,100
434,55
435,100
436,55
437,38.75
438,100
439,52.5
440,73.75
441,47.5
442,81.25
443,43.75
444,52.5
445,87.5
446,62.5
447,62.5
448,100
449,36.25
450,36.25
451,33.75
452,32.5
453,67.5
454,75
455,67.5
456,42.5
457,47.5
458,35
459,100
460,62.5
461,92.5
462,75
463,65
464,100
465,26.25
466,70
467,45
468,40
469,16.25
470,85
471,82.5
472,80
473,15
474,72.5
475,100
476,45
477,67.5
478,65
479,41.25
480,70
481,80
482,85
483,100
484,NA
485,36.25
486,100
487,87.5
488,62.5
489,60
490,36.25
491,100
492,67.5
493,45
494,60
495,92.5
496,92.5
497,80
498,67.5
499,52.5
500,55
501,52.5
502,100
503,35
504,27.5
505,45
506,100
507,42.5
508,75
509,41.25
510,65
511,45
512,45
513,100
514,100
515,NA
516,50
517,45
518,47.5
519,65
520,45
521,32.5
522,100
523,37.5
524,32.5
525,85
526,92.5
527,100
528,43.75
529,61.25
530,43.75
531,67.5
532,45
533,38.75
534,35
535,42.5
536,100
537,50
538,33.75
539,92.5
540,60
541,100
542,50
543,37.5
544,60
545,38.75
546,100
547,82.5
548,48.75
549,27.5
550,41.25
551,30
552,35
553,31.25
554,67.5
555,23.75
556,50
557,33.75
558,90
559,73.75
560,52.5
561,97.5
562,100
563,40
564,100
565,35
566,40
567,42.5
568,65
569,100
570,75
571,75
572,65
573,45
574,100
575,65
576,80
577,NA
578,38.75
579,46.25
580,55
581,55
582,100
583,100
584,48.75
585,100
586,46.25
