pot,di
587,60
588,46.25
589,27.5
590,32.5
591,100
592,40
593,25
594,20
595,57.5
596,22.5
597,45
598,100
599,100
600,25
601,25
602,75
603,81.25
604,72.5
605,50
606,57.5
607,57.5
608,57.5
609,82.5
610,60
611,100
612,NA
613,90
614,52.5
615,100
616,62.5
617,NA
618,NA
619,NA
620,52.5
621,NA
622,70
623,80
624,NA
625,37.5
626,100
627,55
628,47.5
629,50
630,100
631,35
632,57.5
633,75
634,45
635,100
636,40
637,67.5
638,50
639,42.5
640,30
641,100
642,100
643,40
644,100
645,100
646,100
647,50
648,30
649,60
650,100
651,48.75
652,67.5
653,53.75
654,35
655,70
656,45
657,100
658,100
659,62.5
660,76.25
661,75
662,40
663,48.75
664,25
665,25
666,65
667,90
668,32.5
669,41.25
670,75
671,35
672,50
673,57.5
674,100
675,92.5
676,40
677,72.5
678,77.5
679,100
680,65
681,75
682,100
683,92.5
684,52.5
685,100
686,48.75
687,87.5
688,42.5
689,100
690,100
691,100
692,57.5
693,45
694,45
695,100
696,60
697,100
698,100
699,57.5
700,100
701,100
702,100
703,60
704,100
705,70
706,100
707,65
708,62.5
709,85
710,52.5
711,65
712,57.5
713,100
714,40
715,53.75
716,67.5
717,67.5
718,100
719,70
720,50
721,55
722,62.5
723,100
724,42.5
725,57.5
726,90
727,92.5
728,100
729,100
730,60
731,70
732,33.75
733,NA
734,97.5
735,40
736,30
737,100
738,100
739,50
740,72.5
741,67.5
742,100
743,87.5
744,45
745,65
746,47.5
747,62.5
748,52.5
749,100
750,35
751,100
752,62.5
753,36.25
754,82.5
755,50
756,60
757,47.5
758,100
759,100
760,37.5
761,30
762,47.5
763,100
764,100
765,68.75
766,62.5
767,40
768,42.5
769,100
770,100
771,NA
772,95
773,52.5
774,100
775,62.5
776,100
777,50
778,100
779,62.5
780,41.25
781,70
782,40
783,42.5
784,48.75
785,40
786,100
787,60
788,50
789,100
790,46.25
791,85
792,37.5
793,42.5
794,85
795,55
796,77.5
797,60
798,NA
799,17.5
800,100
801,37.5
802,52.5
803,90
804,100
805,70
806,100
807,38.75
808,72.5
809,78.75
810,100
811,46.25
812,67.5
813,57.5
814,100
815,48.75
816,97.5
817,NA
818,85
819,87.5
820,100
821,100
822,93.75
823,47.5
824,98.75
825,67.5
826,52.5
827,85
828,66.25
829,41.25
830,55
831,100
832,62.5
833,100
834,100
835,85
836,100
837,90
838,100
839,57.5
840,47.5
841,61.25
842,100
843,100
844,97.5
845,85
846,100
847,100
848,100
849,100
850,100
851,55
852,91.25
853,100
854,100
855,40
856,100
857,100
858,NA
859,100
860,50
861,41.25
862,48.75
863,80
864,57.5
865,62.5
866,83.75
867,87.5
868,100
869,70
870,91.25
871,100
872,45
873,68.75
874,80
875,56.25
876,88.75
877,50
878,47.5
879,62.5
880,68.75
881,67.5
882,81.25
883,71.25
884,NA
885,57.5
886,58.75
887,100
888,42.5
889,97.5
890,76.25
891,82.5
892,63.75
893,92.5
894,100
895,67.5
896,45
897,41.25
898,17.5
899,100
900,55
901,100
902,41.25
903,62.5
904,36.25
905,35
906,73.75
907,66.25
908,90
909,70
910,75
911,98.75
912,88.75
913,56.25
914,90
915,62.5
916,100
917,57.5
918,62.5
919,100
920,47.5
921,50
922,75
923,100
924,85
925,78.75
926,48.75
927,100
928,100
929,77.5
930,100
931,65
932,100
933,100
934,75
935,47.5
936,32.5
937,38.75
938,83.75
939,82.5
940,80
941,100
942,73.75
943,70
944,22.5
945,68.75
946,62.5
947,82.5
948,50
949,76.25
950,51.25
951,67.5
952,52.5
953,70
954,67.5
955,55
956,100
957,100
958,57.5
959,62.5
960,10
961,67.5
962,42.5
963,100
964,33.75
965,78.75
966,57.5
967,67.5
968,100
969,70
970,100
971,85
972,100
973,97.5
974,100
975,52.5
976,73.75
977,45
978,60
979,82.5
980,73.75
981,71.25
982,40
983,67.5
984,100
985,67.5
986,41.25
987,100
988,65
989,NA
990,67.5
991,68.75
992,58.75
993,97.5
994,93.75
995,53.75
996,92.5
997,100
998,70
999,100
1000,55
1001,67.5
1002,100
1003,100
1004,72.5
1005,51.25
1006,37.5
1007,65
1008,57.5
1009,33.75
1010,68.75
1011,100
1012,100
1013,70
1014,100
1015,62.5
1016,81.25
1017,100
1018,60
1019,75
1020,35
1021,100
1022,60
1023,92.5
1024,50
1025,92.5
1026,90
1027,100
1028,60
1029,62.5
1030,100
1031,57.5
1032,85
1033,98.75
1034,42.5
1035,100
1036,100
1037,100
1038,60
1039,100
1040,73.75
1041,43.75
1042,100
1043,100
1044,40
1045,57.5
1046,45
1047,66.25
1048,100
1049,62.5
1050,71.25
1051,62.5
1052,100
1053,28.75
1054,56.25
1055,100
1056,56.25
1057,82.5
1058,38.75
1059,52.5
1060,100
1061,61.25
1062,100
1063,100
1064,45
1065,68.75
1066,40
1067,38.75
1068,55
1069,83.75
1070,55
1071,55
1072,60
1073,62.5
1074,52.5
1075,100
1076,100
1077,40
1078,61.25
1079,40
1080,68.75
1081,68.75
1082,97.5
1083,NA
1084,100
1085,100
1086,72.5
1087,55
1088,83.75
1089,100
1090,82.5
1091,52.5
1092,58.75
1093,NA
1094,100
1095,NA
1096,66.25
1097,NA
1098,71.25
1099,90
1100,100
1101,38.75
1102,100
1103,77.5
1104,98.75
1105,13.75
1106,100
1107,46.25
1108,100
1109,63.75
1110,100
1111,100
1112,63.75
1113,78.75
1114,85
1115,70
1116,30
1117,32.5
1118,46.25
1119,83.75
1120,42.5
1121,100
1122,100
1123,100
1124,NA
1125,73.75
1126,100
1127,81.25
1128,100
1129,100
1130,50
1131,57.5
1132,55
1133,100
1134,68.75
1135,100
1136,100
1137,100
1138,NA
1139,63.75
1140,22.5
1141,100
1142,65
1143,68.75
1144,100
1145,65
1146,30
1147,65
1148,90
1149,82.5
1150,65
1151,92.5
1152,48.75
1153,67.5
1154,68.75
1155,85
1156,100
1157,52.5
1158,NA
1159,100
1160,66.25
1161,71.25
1162,65
1163,53.75
1164,22.5
1165,18.75
1166,48.75
1167,55
1168,100
1169,47.5
1170,73.75
1171,60
1172,100
1173,52.5
1174,65
1175,100
1176,47.5
1177,100
1178,100
1179,100
1180,100
1181,71.25
1182,100
1183,32.5
1184,56.25
1185,100
1186,100
1187,60
1188,60
1189,55
1190,45
1191,100
1192,82.5
1193,42.5
1194,76.25
1195,73.75
1196,58.75
1197,66.25
1198,65
1199,43.75
1200,53.75
1201,42.5
1202,80
1203,67.5
1204,42.5
1205,45
1206,77.5
1207,100
1208,55
1209,75
1210,65
1211,77.5
1212,100
1213,47.5
1214,50
1215,78.75
1216,55
1217,91.25
1218,76.25
1219,62.5
1220,100
1221,52.5
1222,90
1223,100
1224,26.25
1225,25
1226,100
1227,90
1228,50
1229,100
1230,48.75
1231,55
1232,46.25
1233,41.25
1234,55
1235,67.5
1236,65
1237,90
1238,67.5
1239,60
1240,16.25
1241,52.5
1242,51.25
1243,100
1244,36.25
1245,100
1246,95
1247,43.75
1248,100
1249,45
1250,100
1251,100
1252,60
1253,32.5
1254,67.5
1255,67.5
1256,66.25
1257,100
1258,100
1259,100
1260,83.75
1261,45
1262,37.5
1263,47.5
1264,100
1265,55
1266,48.75
1267,60
1268,76.25
1269,50
1270,52.5
1271,78.75
1272,37.5
1273,100
1274,48.75
1275,83.75
1276,60
1277,100
1278,45
1279,60
1280,100
1281,92.5
1282,58.75
1283,100
1284,100
1285,NA
1286,65
1287,100
1288,100
1289,70
1290,100
1291,75
1292,50
1293,78.75
1294,15
1295,55
1296,NA
1297,82.5
1298,100
1299,52.5
1300,26.25
1301,27.5
1302,45
1303,90
1304,65
1305,100
1306,68.75
1307,68.75
1308,52.5
1309,23.75
1310,55
1311,100
1312,50
1313,100
1314,92.5
1315,100
1316,60
1317,60
1318,32.5
1319,32.5
1320,73.75
1321,48.75
1322,50
1323,100
1324,100
1325,90
1326,100
1327,NA
1328,66.25
1329,58.75
1330,52.5
1331,67.5
1332,75
1333,57.5
1334,48.75
1335,92.5
1336,90
1337,46.25
1338,48.75
1339,100
1340,90
1341,28.75
1342,55
1343,100
1344,33.75
1345,88.75
1346,90
1347,100
1348,42.5
1349,75
1350,63.75
1351,100
1352,100
1353,76.25
1354,62.5
1355,46.25
1356,63.75
1357,100
1358,62.5
1359,70
1360,85
1361,36.25
1362,90
1363,75
1364,100
1365,70
1366,100
1367,100
1368,58.75
1369,62.5
1370,67.5
1371,98.75
1372,100
1373,75
1374,82.5
1375,55
1376,70
1377,87.5
1378,63.75
1379,75
1380,65
1381,45
1382,87.5
1383,33.75
1384,85
1385,61.25
1386,71.25
1387,88.75
1388,100
1389,68.75
1390,93.75
1391,93.75
1392,36.25
1393,67.5
1394,95
1395,55
1396,32.5
1397,60
1398,67.5
1399,93.75
1400,81.25
1401,91.25
1402,100
1403,100
1404,52.5
1405,NA
1406,65
1407,62.5
1408,100
1409,73.75
1410,100
1411,61.25
1412,52.5
1413,72.5
1414,41.25
1415,47.5
1416,50
1417,68.75
1418,100
1419,100
1420,70
1421,83.75
1422,72.5
1423,100
1424,50
1425,100
1426,100
1427,100
1428,90
1429,91.25
1430,71.25
1431,100
1432,45
1433,52.5
1434,100
1435,92.5
1436,76.25
1437,100
1438,57.5
1439,100
1440,NA
1441,27.5
1442,52.5
1443,70
1444,76.25
1445,62.5
1446,100
1447,92.5
1448,60
1449,NA
1450,100
1451,85
1452,71.25
1453,52.5
1454,57.5
1455,67.5
1456,100
1457,91.25
1458,72.5
1459,77.5
1460,82.5
1461,40
1462,45
1463,100
1464,63.75
1465,NA
1466,62.5
1467,48.75
1468,42.5
1469,76.25
1470,NA
1471,56.25
1472,47.5
1473,47.5
1474,63.75
1475,87.5
1476,100
1477,95
1478,100
1479,55
1480,52.5
1481,NA
1482,71.25
1483,61.25
1484,100
1485,61.25
1486,100
1487,62.5
1488,32.5
1489,100
1490,100
1491,67.5
1492,72.5
1493,98.75
1494,100
1495,81.25
1496,100
1497,78.75
1498,NA
1499,100
1500,70
1501,70
1502,100
1503,77.5
1504,80
1505,100
1506,65
1507,73.75
1508,90
1509,100
1510,32.5
1511,71.25
1512,55
1513,58.75
1514,55
1515,52.5
1516,92.5
1517,100
1518,100
1519,100
1520,72.5
1521,70
1522,52.5
1523,73.75
1524,40
1525,82.5
1526,50
1527,92.5
1528,87.5
1529,NA
1530,61.25
1531,90
1532,95
1533,38.75
1534,97.5
1535,65
1536,50
1537,NA
1538,75
1539,82.5
1540,57.5
1541,NA
1542,62.5
1543,82.5
1544,57.5
1545,52.5
1546,65
1547,100
1548,33.75
1549,33.75
1550,100
1551,100
1552,75
1553,NA
1554,71.25
1555,57.5
1556,37.5
1557,72.5
1558,70
1559,100
1560,47.5
1561,100
1562,45
1563,62.5
1564,88.75
1565,100
1566,62.5
1567,76.25
1568,72.5
1569,42.5
1570,100
1571,52.5
1572,50
1573,NA
1574,80
1575,100
1576,100
1577,66.25
1578,52.5
1579,73.75
1580,87.5
1581,80
1582,46.25
1583,92.5
1584,88.75
1585,43.75
1586,52.5
1587,37.5
1588,70
1589,82.5
1590,61.25
1591,63.75
1592,100
1593,32.5
1594,57.5
1595,37.5
1596,77.5
1597,38.75
1598,100
1599,NA
1600,72.5
1601,45
1602,55
1603,100
1604,100
1605,28.75
1606,62.5
1607,60
1608,72.5
1609,53.75
1610,100
1611,45
1612,50
1613,87.5
1614,82.5
1615,100
1616,75
1617,56.25
1618,57.5
1619,62.5
1620,100
1621,100
1622,100
1623,48.75
1624,100
1625,77.5
1626,100
1627,76.25
1628,100
1629,NA
1630,100
1631,76.25
1632,100
1633,100
1634,100
1635,81.25
1636,92.5
1637,40
1638,65
1639,100
1640,100
1641,100
1642,75
1643,82.5
1644,100
1645,100
1646,55
1647,82.5
1648,55
1649,100
1650,NA
1651,100
1652,55
1653,53.75
1654,71.25
1655,47.5
1656,72.5
1657,67.5
1658,95
1659,87.5
1660,100
1661,46.25
1662,100
1663,46.25
1664,100
1665,55
1666,100
1667,72.5
1668,65
1669,75
1670,NA
1671,100
1672,55
1673,87.5
1674,58.75
1675,63.75
1676,56.25
1677,83.75
1678,100
1679,51.25
1680,87.5
1681,68.75
1682,NA
1683,72.5
1684,100
1685,75
1686,55
1687,73.75
1688,100
1689,80
1690,100
1691,75
1692,52.5
1693,100
1694,100
1695,100
1696,26.25
1697,100
1698,57.5
1699,70
1700,41.25
1701,98.75
1702,100
1703,77.5
1704,46.25
1705,70
1706,90
1707,67.5
1708,92.5
1709,100
1710,100
1711,72.5
1712,97.5
1713,61.25
1714,55
1715,51.25
1716,77.5
1717,100
1718,61.25
1719,42.5
1720,100
1721,38.75
1722,46.25
1723,100
1724,65
1725,67.5
1726,75
1727,60
1728,45
1729,93.75
1730,60
1731,57.5
1732,90
1733,47.5
1734,100
1735,100
1736,60
1737,100
1738,48.75
1739,72.5
1740,100
1741,82.5
1742,68.75
1743,31.25
1744,52.5
1745,50
1746,82.5
1747,90
1748,70
1749,45
1750,100
1751,80
1752,50
1753,47.5
1754,95
1755,31.25
1756,87.5
1757,38.75
1758,87.5
1759,100
1760,100
1761,45
1762,97.5
1763,75
1764,47.5
1765,12.5
1766,43.75
1767,77.5
1768,100
1769,50
1770,60
1771,60
1772,100
1773,30
1774,38.75
1775,55
1776,42.5
1777,28.75
1778,37.5
1779,NA
1780,80
1781,55
1782,75
1783,87.5
1784,92.5
1785,100
1786,100
1787,82.5
1788,80
1789,91.25
1790,92.5
1791,65
1792,42.5
1793,32.5
1794,82.5
1795,65
1796,100
1797,90
1798,73.75
1799,76.25
1800,62.5
1801,93.75
1802,100
1803,100
1804,100
1805,46.25
1806,NA
1807,72.5
1808,100
1809,100
1810,67.5
1811,55
1812,100
1813,53.75
1814,58.75
1815,55
1816,71.25
1817,NA
1818,100
1819,52.5
1820,100
1821,36.25
1822,62.5
1823,100
1824,90
1825,41.25
1826,50
1827,NA
1828,100
1829,66.25
1830,100
1831,91.25
1832,68.75
1833,96.25
1834,56.25
1835,92.5
1836,40
1837,30
1838,31.25
1839,55
1840,100
1841,43.75
1842,100
1843,77.5
1844,100
1845,100
1846,86.25
1847,100
1848,50
1849,35
1850,61.25
1851,63.75
1852,100
1853,100
1854,57.5
1855,100
1856,60
1857,70
1858,78.75
1859,100
1860,100
1861,100
1862,46.25
1863,27.5
1864,100
1865,41.25
1866,92.5
1867,72.5
1868,100
1869,100
1870,100
1871,70
1872,75
1873,NA
1874,45
1875,73.75
1876,100
1877,35
1878,76.25
1879,68.75
1880,100
1881,45
1882,37.5
1883,30
1884,25
1885,41.25
1886,45
1887,73.75
1888,41.25
1889,53.75
1890,47.5
1891,48.75
1892,92.5
1893,55
1894,70
1895,57.5
1896,73.75
1897,65
1898,81.25
1899,77.5
1900,100
1901,68.75
1902,86.25
1903,80
1904,82.5
1905,92.5
1906,60
1907,63.75
1908,95
1909,32.5
1910,33.75
1911,55
1912,67.5
1913,53.75
1914,100
1915,75
1916,97.5
1917,100
1918,42.5
1919,60
1920,67.5
1921,85
1922,85
1923,100
1924,86.25
1925,100
1926,65
1927,85
1928,50
1929,100
1930,87.5
1931,62.5
1932,100
1933,36.25
1934,46.25
1935,62.5
1936,67.5
1937,56.25
1938,100
1939,100
1940,100
1941,52.5
1942,100
1943,85
1944,63.75
1945,32.5
1946,57.5
1947,67.5
1948,100
1949,83.75
1950,57.5
1951,82.5
1952,90
1953,NA
1954,73.75
1955,82.5
1956,45
1957,57.5
1958,100
1959,41.25
1960,33.75
1961,100
1962,56.25
1963,100
1964,53.75
1965,75
1966,100
1967,100
1968,48.75
1969,72.5
1970,65
1971,65
1972,88.75
1973,56.25
1974,100
1975,100
1976,92.5
1977,55
1978,100
1979,80
1980,47.5
1981,52.5
1982,46.25
1983,85
1984,63.75
1985,52.5
1986,76.25
1987,57.5
1988,71.25
1989,100
1990,71.25
1991,72.5
1992,100
1993,NA
1994,51.25
1995,NA
1996,87.5
1997,62.5
1998,60
1999,60
2000,NA
2001,76.25
2002,87.5
2003,91
2004,42.5
2005,97.5
2006,100
2007,100
2008,NA
2009,100
2010,46.25
2011,60
2012,85
2013,80
2014,100
2015,81.25
2016,75
2017,87.5
2018,65
2019,65
2020,27.5
2021,77.5
2022,92.5
2023,72.5
2024,92.5
2025,50
2026,71.25
2027,100
2028,57.5
2029,57.5
2030,65
2031,60
2032,58.75
2033,65
2034,100
2035,62.5
2036,60
2037,37.5
2038,55
2039,52.5
2040,100
2041,61.25
2042,92.5
2043,87.5
2044,66.25
2045,52.5
2046,72.5
2047,85
2048,100
2049,100
2050,80
2051,82.5
2052,92.5
2053,16.25
2054,62.5
2055,72.5
2056,100
2057,65
2058,75
2059,100
2060,90
2061,85
2062,100
2063,100
2064,70
2065,100
2066,100
2067,71.25
2068,100
2069,100
2070,25
2071,77.5
2072,100
2073,72.5
2074,100
2075,100
2076,15
2077,33.75
2078,57.5
2079,100
2080,38.75
2081,100
2082,100
2083,100
2084,100
2085,80
2086,100
2087,92.5
2088,48.75
2089,65
2090,52.5
2091,95
2092,77.5
2093,53.75
2094,46.25
2095,100
2096,100
2097,77.5
2098,60
2099,52.5
2100,78.75
2101,20
2102,50
2103,98.75
2104,50
2105,73.75
2106,100
2107,62.5
2108,45
2109,100
2110,72.5
2111,75
2112,70
2113,32.5
2114,65
2115,100
2116,100
2117,90
2118,100
2119,62.5
2120,36.25
2121,100
2122,100
2123,100
2124,92.5
2125,80
2126,75
2127,67.5
2128,70
2129,46.25
2130,92.5
2131,55
2132,NA
2133,62.5
2134,NA
2135,67.5
2136,100
2137,100
2138,75
2139,100
2140,100
2141,81.25
2142,67.5
2143,100
2144,47.5
2145,60
2146,100
2147,41.25
2148,60
2149,100
2150,71.25
2151,58.75
2152,52.5
2153,100
2154,67.5
2155,87.5
2156,47.5
2157,100
2158,68.75
2159,100
2160,66.25
2161,62.5
2162,90
2163,62.5
2164,92.5
2165,77.5
2166,65
2167,92.5
2168,80
2169,51.25
2170,100
2171,NA
2172,NA
2173,75
2174,65
2175,62.5
2176,18.75
2177,100
2178,100
2179,92.5
2180,82.5
2181,82.5
2182,100
2183,75
2184,47.5
2185,50
2186,50
2187,62.5
2188,77.5
2189,57.5
2190,90
2191,100
2192,65
2193,50
2194,58.75
2195,100
2196,40
2197,100
2198,65
2199,70
2200,50
2201,67.5
2202,87.5
2203,75
2204,61.25
2205,100
2206,50
2207,65
2208,87.5
2209,NA
2210,50
2211,50
2212,62.5
2213,100
2214,100
2215,100
2216,51.25
2217,72.5
2218,47.5
2219,50
2220,65
2221,82.5
2222,52.5
2223,100
2224,60
2225,50
2226,57.5
2227,80
2228,100
2229,57.5
2230,65
2231,100
2232,63.75
2233,100
2234,100
2235,50
2236,100
2237,45
2238,100
2239,70
2240,70
2241,NA
2242,62.5
2243,92.5
2244,93.75
2245,50
2246,77.5
2247,100
2248,62.5
2249,60
2250,100
2251,100
2252,100
2253,93.75
2254,60
2255,63.75
2256,57.5
2257,72.5
2258,48.75
2259,75
2260,55
2261,100
2262,77.5
2263,77.5
2264,52.5
2265,100
2266,80
2267,100
2268,87.5
2269,78.75
2270,58.75
2271,47.5
2272,100
2273,65
2274,52.5
2275,100
2276,55
2277,85
2278,65
2279,55
2280,50
2281,38.75
2282,100
2283,100
2284,92.5
2285,100
2286,75
2287,100
2288,93.75
2289,45
2290,100
2291,53.75
2292,47.5
2293,71.25
2294,78.75
2295,62.5
2296,38.75
2297,55
2298,82.5
2299,NA
2300,55
2301,43.75
2302,46.25
2303,63.75
2304,41.25
2305,100
2306,100
2307,100
2308,NA
2309,62.5
2310,NA
2311,65
2312,48.75
2313,100
2314,75
2315,90
2316,72.5
2317,77.5
2318,52.5
2319,100
2320,67.5
2321,92.5
2322,100
2323,87.5
2324,77.5
2325,95
2326,87.5
2327,100
2328,53.75
2329,60
2330,52.5
2331,50
2332,72.5
2333,100
2334,56.25
2335,100
2336,95
2337,67.5
2338,71.25
2339,75
2340,71.25
2341,75
2342,67.5
