pot,di
456,50
1310,50
1312,50
384,52.5
1320,52.5
37,50
278,52.5
422,52.5
430,52.5
441,52.5
444,52.5
389,55
405,55
960,55
1021,55
1094,55
1161,55
1162,55
1172,55
1186,55
1306,55
1372,55
351,58.75
1212,58.75
85,55
932,57.5
957,60
982,60
1293,60
970,61.25
1336,61.25
246,65
1261,65
1283,65
1337,65
952,66.25
1095,66.25
1099,66.25
1327,66.25
202,25
39,25
1152,35
432,40
264,37.5
600,62.5
549,62.5
59,35
1153,40
724,47.5
576,57.5
272,36.25
289,36.25
98,37.5
53,38.75
233,38.75
91,37.5
196,37.5
46,40
66,40
71,40
133,40
325,40
48,42.5
90,42.5
125,42.5
132,42.5
143,42.5
421,42.5
1177,42.5
273,45
1284,47.5
32,41.25
52,41.25
101,42.5
116,42.5
313,42.5
228,43.75
126,42.5
168,43.75
78,45
105,47.5
185,47.5
242,47.5
290,47.5
562,47.5
38,50
108,50
111,50
172,50
184,50
271,50
371,50
827,50
112,52.5
437,52.5
457,52.5
460,52.5
489,52.5
534,52.5
768,52.5
769,52.5
802,52.5
912,52.5
964,52.5
1056,52.5
1157,52.5
1226,52.5
1314,52.5
1321,52.5
1331,52.5
1348,52.5
304,55
1130,55
47,45
190,52.5
97,55
302,55
305,55
329,55
331,55
359,55
409,55
417,55
445,55
929,55
253,57.5
306,57.5
317,57.5
360,57.5
382,57.5
497,57.5
508,57.5
679,57.5
714,57.5
749,57.5
817,57.5
880,57.5
940,57.5
976,57.5
1068,57.5
1070,57.5
1141,57.5
1165,57.5
1169,57.5
1199,57.5
1202,57.5
1204,57.5
1214,57.5
1277,57.5
1279,57.5
1316,57.5
1334,57.5
1364,57.5
1368,57.5
1373,57.5
283,60
1088,60
1148,60
401,61.25
420,61.25
435,61.25
1268,61.25
1344,60
496,62.5
599,62.5
740,62.5
741,62.5
779,62.5
916,62.5
1052,62.5
1089,62.5
1097,62.5
1137,62.5
1241,62.5
1323,62.5
270,63.75
956,63.75
965,63.75
1247,63.75
1360,63.75
490,67.5
495,67.5
860,67.5
879,67.5
901,67.5
1151,67.5
223,67.5
294,67.5
407,67.5
419,67.5
423,67.5
1038,67.5
1197,67.5
1256,67.5
1086,68.75
1341,70
936,53.75
43,56.25
79,35
577,52.5
504,50
629,50
640,50
673,50
700,50
648,55
697,55
720,55
605,60
140,42.5
12,43.75
482,50
505,52.5
473,55
510,55
561,55
590,55
636,55
649,55
680,55
733,55
792,55
794,55
815,55
864,55
892,55
598,57.5
531,57.5
665,57.5
530,60
551,60
584,60
586,60
634,60
644,60
675,60
692,60
727,60
744,60
748,60
787,60
796,60
801,60
861,60
870,60
873,60
886,60
903,60
913,60
1102,60
736,62.5
533,65
537,65
615,65
616,65
635,65
656,65
734,65
752,65
763,65
766,65
782,65
811,65
822,65
830,65
851,65
853,65
867,65
889,65
899,65
908,65
914,65
524,66.25
544,67.5
470,67.5
550,70
1044,70
1311,70
737,75
847,75
99,25
1124,40
452,45
288,50
604,55
672,57.5
620,67.5
2,40
434,41.25
13,45
356,45
266,47.5
268,47.5
147,55
244,50
256,50
448,50
3,52.5
161,52.5
209,52.5
217,52.5
243,52.5
284,52.5
440,52.5
446,52.5
1014,52.5
1194,52.5
1301,52.5
1345,52.5
208,55
316,55
517,55
1010,55
1274,55
337,55
529,55
554,55
199,57.5
200,57.5
212,57.5
286,57.5
364,57.5
366,57.5
429,57.5
472,57.5
494,57.5
515,57.5
522,57.5
578,57.5
579,57.5
630,57.5
758,57.5
771,57.5
1243,57.5
1285,57.5
1297,57.5
475,60
1058,60
1104,60
204,57.5
102,60
163,60
195,60
201,60
206,60
229,60
262,60
276,60
277,60
315,60
323,60
328,60
345,60
362,60
365,60
368,60
386,60
402,60
425,60
436,60
442,60
928,60
1006,60
1016,60
1082,60
1112,60
1118,60
1328,60
1333,60
225,62.5
248,62.5
293,62.5
300,62.5
338,62.5
370,62.5
372,62.5
383,62.5
454,62.5
477,62.5
498,62.5
525,62.5
556,62.5
559,62.5
563,62.5
593,62.5
602,62.5
606,62.5
653,62.5
691,62.5
709,62.5
715,62.5
721,62.5
722,62.5
762,62.5
789,62.5
814,62.5
834,62.5
844,62.5
845,62.5
865,62.5
909,62.5
911,62.5
915,62.5
944,62.5
968,62.5
979,62.5
981,62.5
983,62.5
996,62.5
1036,62.5
1062,62.5
1081,62.5
1083,62.5
1093,62.5
1111,62.5
1113,62.5
1126,62.5
1128,62.5
1144,62.5
1200,62.5
1232,62.5
1265,62.5
1324,62.5
1352,62.5
1357,62.5
1365,62.5
1375,62.5
1386,62.5
1176,63
424,66.25
926,60
565,65
511,67.5
521,67.5
532,67.5
536,67.5
541,67.5
548,67.5
555,67.5
612,67.5
614,67.5
633,67.5
638,67.5
646,67.5
664,67.5
682,67.5
687,67.5
688,67.5
696,67.5
719,67.5
723,67.5
746,67.5
774,67.5
808,67.5
825,67.5
868,67.5
894,67.5
921,67.5
938,67.5
1125,67.5
1136,67.5
1140,67.5
1142,67.5
1237,67.5
1263,67.5
1307,67.5
1340,67.5
1356,67.5
1367,67.5
1374,67.5
503,68.75
535,68.75
596,68.75
1012,68.75
1271,68.75
1280,68.75
1290,68.75
987,71.25
502,72.5
637,72.5
681,72.5
694,72.5
710,72.5
738,72.5
756,72.5
799,72.5
852,72.5
902,72.5
1278,72.5
387,72.5
927,72.5
985,72.5
1027,72.5
1179,72.5
1338,72.5
348,73.75
1079,73.75
1101,73.75
1117,73.75
1193,73.75
1319,75
623,77.5
631,77.5
838,77.5
1008,65
250,40
712,65
96,45
10,47.5
23,47.5
67,47.5
22,48.75
170,50
19,51.25
20,55
164,55
210,55
458,55
564,55
1244,55
120,57.5
285,57.5
455,57.5
506,57.5
1304,57.5
205,60
339,60
557,60
588,60
589,60
836,60
848,60
1134,60
1189,60
60,52.5
36,62.5
193,62.5
303,62.5
308,62.5
332,62.5
1092,62.5
1155,62.5
9,65
50,65
87,65
131,65
146,65
218,65
275,65
375,65
380,65
396,65
413,65
462,65
546,65
566,65
569,65
572,65
611,65
643,65
650,65
657,65
671,65
689,65
795,65
809,65
840,65
885,65
954,65
959,65
963,65
988,65
989,65
1007,65
1046,65
1060,65
1067,65
1084,65
1096,65
1122,65
1154,65
1173,65
1175,65
1190,65
1192,65
1208,65
1266,65
1282,65
1322,65
1329,65
528,67.5
888,67.5
986,67.5
83,68.75
115,68.75
443,68.75
978,68.75
1061,68.75
179,70
70,65
167,67.5
1019,67.5
474,70
485,70
513,70
545,70
568,70
582,70
583,70
592,70
595,70
603,70
607,70
627,70
632,70
641,70
642,70
651,70
652,70
674,70
676,70
705,70
747,70
765,70
775,70
784,70
798,70
800,70
813,70
832,70
858,70
862,70
872,70
884,70
895,70
918,70
920,70
923,70
945,70
949,70
977,70
1028,70
1040,70
1043,70
1049,70
1077,70
1171,70
1181,70
1191,70
1238,70
1245,70
1260,70
1276,70
1286,70
1300,70
1326,70
80,71.25
487,71.25
934,71.25
973,71.25
997,71.25
1355,71.25
501,75
540,75
622,75
647,75
654,75
661,75
662,75
686,75
707,75
786,75
818,75
843,75
854,75
859,75
905,75
1115,75
187,75
393,75
398,75
438,75
439,75
930,75
1166,75
1249,75
82,76.25
261,76.25
1048,76.25
1057,76.25
1227,76.25
1234,76.25
659,77.5
1100,77.5
1120,77.5
1233,77.5
476,80
683,80
731,80
553,55
668,72.5
122,52.5
139,57.5
160,57.5
279,57.5
291,60
292,60
265,62.5
399,62.5
426,62.5
776,62.5
1003,62.5
57,62.5
58,62.5
216,65
314,65
320,65
428,65
958,65
1013,65
1045,65
1188,65
1210,65
1294,65
159,67.5
176,67.5
224,67.5
260,67.5
269,67.5
296,67.5
297,67.5
333,67.5
378,67.5
414,67.5
484,67.5
512,67.5
767,67.5
803,67.5
826,67.5
876,67.5
882,67.5
925,67.5
1009,67.5
1011,67.5
1037,67.5
1156,67.5
1174,67.5
1185,67.5
1215,67.5
1220,67.5
1223,67.5
1231,67.5
1255,67.5
1275,67.5
1296,67.5
1298,67.5
1318,67.5
1343,67.5
1378,67.5
560,70
745,70
183,71.25
1164,71.25
1363,71.25
933,70
939,70
950,70
153,72.5
488,72.5
514,72.5
601,72.5
609,72.5
677,72.5
678,72.5
751,72.5
757,72.5
761,72.5
790,72.5
805,72.5
812,72.5
835,72.5
857,72.5
878,72.5
893,72.5
948,72.5
1005,72.5
1080,72.5
1085,72.5
1139,72.5
1147,72.5
1184,72.5
1252,72.5
1287,72.5
1302,72.5
1325,72.5
1385,72.5
62,73.75
230,73.75
764,73.75
946,73.75
1221,73.75
1305,73.75
1362,73.75
480,75
1110,75
486,77.5
516,77.5
574,77.5
597,77.5
660,77.5
667,77.5
670,77.5
684,77.5
685,77.5
690,77.5
695,77.5
701,77.5
704,77.5
716,77.5
730,77.5
753,77.5
760,77.5
772,77.5
780,77.5
791,77.5
833,77.5
849,77.5
866,77.5
871,77.5
897,77.5
1091,77.5
1114,77.5
1384,77.5
379,73.75
114,77.5
152,77.5
157,77.5
194,77.5
254,77.5
258,77.5
310,77.5
350,77.5
373,77.5
403,77.5
418,77.5
1195,77.5
1196,77.5
1250,77.5
1292,77.5
1295,77.5
1342,77.5
255,78.75
342,78.75
363,78.75
377,78.75
394,78.75
404,78.75
951,78.75
1001,78.75
1015,78.75
1030,78.75
1032,78.75
1039,78.75
1050,78.75
1054,78.75
1090,78.75
1205,78.75
1206,78.75
1222,78.75
1253,78.75
1359,78.75
35,75
1023,80
1063,80
1066,80
1146,80
1158,80
1159,80
1235,80
1330,80
1339,80
267,82.5
526,82.5
587,82.5
669,82.5
703,82.5
711,82.5
729,82.5
819,82.5
869,82.5
900,82.5
907,82.5
1017,82.5
1026,82.5
1103,82.5
1138,82.5
1288,82.5
483,75
625,75
509,80
626,80
628,80
742,80
755,80
773,80
777,80
816,80
829,80
839,80
904,80
922,80
619,81.25
469,82.5
547,82.5
573,82.5
585,82.5
471,83.75
491,85
581,85
610,85
618,85
693,85
699,85
708,85
725,85
896,85
906,85
1143,85
119,61.25
24,63.75
41,68.75
257,68.75
1217,71.25
65,75
81,75
177,75
118,71.25
16,73.75
171,73.75
245,76.25
931,76.25
937,76.25
1180,76.25
994,77.5
169,78.75
130,81.25
178,81.25
189,81.25
287,81.25
334,81.25
367,81.25
390,81.25
395,81.25
416,81.25
447,81.25
449,81.25
453,81.25
1259,81.25
1273,81.25
1349,81.25
1353,81.25
51,82.5
88,82.5
247,82.5
299,82.5
335,82.5
967,82.5
991,82.5
1004,82.5
1351,82.5
42,82.5
357,83.75
369,83.75
415,83.75
969,83.75
1167,83.75
1299,83.75
31,61.25
27,67.5
69,83.75
1109,85
221,67.5
213,72.5
76,76.25
136,77.5
1053,77.5
25,78.75
150,80
966,80
463,80
658,82.5
759,82.5
770,82.5
820,82.5
824,82.5
828,82.5
841,82.5
910,82.5
917,82.5
1198,82.5
6,82.5
29,82.5
61,82.5
106,82.5
129,82.5
154,82.5
238,82.5
298,82.5
324,82.5
397,82.5
431,82.5
459,82.5
1073,82.5
1209,82.5
1213,82.5
1376,82.5
11,83.75
17,83.75
151,83.75
162,83.75
182,83.75
215,83.75
252,83.75
280,83.75
321,83.75
343,83.75
347,83.75
408,83.75
427,83.75
461,83.75
962,83.75
972,83.75
1033,83.75
1055,83.75
1160,83.75
1182,83.75
1207,83.75
1371,83.75
7,83.75
40,83.75
249,83.75
5,85
15,85
104,85
155,85
173,85
180,85
214,85
355,85
450,85
542,85
558,85
567,85
947,85
975,85
993,85
1034,85
1051,85
1072,85
1145,85
1163,85
1187,85
1219,85
1257,85
1281,85
1303,85
1313,85
1332,85
1350,85
1361,85
1366,85
1382,85
18,87.5
138,87.5
141,87.5
175,87.5
207,87.5
466,87.5
493,87.5
500,87.5
507,87.5
519,87.5
523,87.5
570,87.5
571,87.5
608,87.5
613,87.5
621,87.5
655,87.5
663,87.5
698,87.5
743,87.5
785,87.5
797,87.5
807,87.5
810,87.5
831,87.5
874,87.5
875,87.5
881,87.5
883,87.5
941,87.5
971,87.5
974,87.5
980,87.5
984,87.5
1018,87.5
1029,87.5
1076,87.5
1150,87.5
1178,87.5
1218,87.5
1230,87.5
1254,87.5
1258,87.5
1381,87.5
156,90
174,90
239,90
274,90
307,90
309,90
318,90
358,90
376,90
411,90
492,90
527,90
552,90
998,90
1025,90
1031,90
1087,90
1203,90
1216,90
1267,90
1289,90
1377,90
1379,90
341,92.5
137,87.5
86,90
788,90
837,90
855,90
856,90
887,90
924,90
1308,90
1309,90
191,92.5
478,92.5
479,92.5
520,92.5
539,92.5
617,92.5
717,92.5
732,92.5
739,92.5
1059,92.5
1065,92.5
1071,92.5
1098,92.5
1121,92.5
1123,92.5
1131,92.5
1132,92.5
1133,92.5
1236,92.5
1242,92.5
1269,92.5
1346,92.5
1380,92.5
134,87.5
241,87.5
374,90
203,92.5
793,92.5
1225,92.5
192,95
198,95
235,95
353,95
935,95
990,95
1000,95
1064,95
1074,95
1127,97.5
63,100
110,100
135,100
142,100
158,100
181,100
186,100
197,100
219,100
222,100
226,100
227,100
231,100
232,100
234,100
251,100
282,100
295,100
311,100
319,100
322,100
326,100
327,100
346,100
352,100
354,100
385,100
388,100
400,100
406,100
412,100
464,100
465,100
499,100
518,100
538,100
543,100
575,100
580,100
591,100
594,100
624,100
639,100
645,100
666,100
702,100
706,100
713,100
718,100
726,100
728,100
735,100
750,100
754,100
778,100
781,100
783,100
804,100
806,100
821,100
823,100
842,100
846,100
850,100
863,100
877,100
890,100
891,100
898,100
919,100
942,100
953,100
955,100
992,100
995,100
999,100
1002,100
1020,100
1022,100
1024,100
1035,100
1041,100
1042,100
1047,100
1069,100
1075,100
1078,100
1106,100
1107,100
1108,100
1119,100
1135,100
1149,100
1168,100
1170,100
1183,100
1211,100
1228,100
1229,100
1239,100
1240,100
1246,100
1251,100
1262,100
1264,100
1270,100
1291,100
1315,100
1317,100
1335,100
1354,100
1358,100
1370,100
1383,100
