pot,di
607 A,62.5
608 A,100
609 A,100
610 A,47.5
611 A,60
612 A,100
613 A,100
614 A,72.5
615 A,100
616 A,87.5
617 A,83.75
618 A,35
619 A,100
620 A,78.75
621 A,82.5
622 A,62.5
623 A,62.5
624 A,75
625 A,41.25
626 A,6.25
627 A,37.5
628 A,57.5
629 A,57.5
630 A,65
631 A,38.75
632 A,76.25
633 A,100
634 A,45
635 A,83.75
636 A,71.25
637 A,83.75
638 A,90
639 A,93.75
640 A,82.5
641 A,80
642 A,100
643 A,100
644 A,83.75
645 A,70
646 A,47.5
647 A,73.75
648 A,81.25
649 A,73.75
650 A,40
651 A,55
652 A,70
653 A,75
654 A,48.75
655 A,52.5
656 A,71.25
657 A,52.5
658 A,46.25
659 A,40
660 A,100
661 A,87.5
662 A,85
663 A,100
664 A,52.5
665 A,100
666 A,36.25
667 A,60
668 A,100
669 A,100
670 A,76.25
671 A,66.25
672 A,83.75
673 A,67.5
674 A,92.5
675 A,87.5
676 A,100
677 A,86.25
678 A,45
1:00 AM,100
2:00 AM,100
3:00 AM,100
4:00 AM,100
5:00 AM,100
6:00 AM,100
7:00 AM,100
8:00 AM,100
9:00 AM,100
10:00 AM,100
11:00 AM,100
12:00 AM,100
13 A,100
14 A,100
15 A,78.75
16 A,82.5
17 A,100
18 A,100
19 A,52.5
20 A,77.5
21 A,85
22 A,100
23 A,100
24 A,100
25 A,92.5
26 A,100
27 A,100
28 A,100
29 A,100
30 A,100
31 A,100
32 A,100
33 A,48.75
34 A,100
35 A,100
36 A,95
37 A,100
38 A,100
39 A,100
40 A,82.5
41 A,93.75
42 A,100
43 A,100
44 A,47.5
45 A,100
46 A,100
47 A,45
48 A,83.75
49 A,100
50 A,38.75
51 A,100
52 A,100
53 A,90
54 A,100
55 A,100
56 A,100
57 A,100
58 A,45
59 A,100
60 A,63.75
61 A,62.5
62 A,100
63 A,100
64 A,100
65 A,100
66 A,67.5
67 A,100
68 A,100
69 A,43.75
70 A,100
71 A,100
72 A,100
73 A,92.5
74 A,100
75 A,100
76 A,95
77 A,100
78 A,40
79 A,45
80 A,50
81 A,100
82 A,100
83 A,100
84 A,92.5
85 A,100
86 A,100
87 A,100
88 A,100
89 A,68.75
90 A,100
91 A,100
92 A,100
93 A,100
94 A,60
95 A,100
96 A,100
97 A,100
98 A,100
99 A,37.5
100 A,91.25
101 A,100
102 A,66.25
103 A,100
104 A,100
105 A,100
106 A,100
107 A,100
108 A,100
109 A,58.75
110 A,100
111 A,100
112 A,36.25
113 A,82.5
114 A,100
115 A,42.5
116 A,88.75
117 A,31.25
118 A,100
119 A,100
120 A,100
121 A,100
122 A,92.5
123 A,100
124 A,71.25
125 A,92.5
126 A,100
127 A,100
128 A,91.25
129 A,91.25
130 A,95
131 A,100
132 A,92.5
133 A,100
134 A,55
135 A,100
136 A,65
137 A,100
138 A,55
139 A,100
140 A,78.75
141 A,100
142 A,100
143 A,100
144 A,100
145 A,100
146 A,100
147 A,100
148 A,40
149 A,100
150 A,100
151 A,100
152 A,100
153 A,95
154 A,100
155 A,15.25
156 A,100
157 A,95
158 A,100
159 A,100
160 A,45
161 A,100
162 A,100
163 A,100
164 A,42.5
165 A,100
166 A,100
167 A,100
168 A,62.5
169 A,100
170 A,100
171 A,100
172 A,100
173 A,95
174 A,100
175 A,86.25
176 A,100
177 A,100
178 A,100
179 A,100
180 A,100
181 A,100
182 A,100
183 A,100
184 A,100
185 A,30
186 A,100
187 A,100
188 A,100
189 A,100
190 A,73.75
191 A,100
192 A,100
193 A,100
194 A,58.75
195 A,100
196 A,65
197 A,100
198 A,100
199 A,90
200 A,83.75
201 A,87.5
202 A,57.5
203 A,85
204 A,100
205 A,100
206 A,100
207 A,76.25
208 A,100
209 A,87.5
210 A,100
211 A,100
212 A,100
213 A,100
214 A,100
215 A,100
216 A,90
217 A,100
218 A,100
219 A,43.75
220 A,100
221 A,100
222 A,63.75
223 A,100
224 A,100
225 A,52.5
226 A,90
227 A,92.5
228 A,100
229 A,91.25
230 A,33.75
231 A,100
232 A,100
233 A,100
234 A,90
235 A,1.25
236 A,100
237 A,100
238 A,100
239 A,97.5
240 A,46.25
241 A,100
242 A,100
243 A,100
244 A,100
245 A,35
246 A,50
247 A,85
248 A,100
249 A,100
250 A,47.5
251 A,100
252 A,100
253 A,100
254 A,100
255 A,100
256 A,42.5
257 A,100
258 A,100
259 A,100
260 A,100
261 A,100
262 A,100
263 A,100
264 A,42.5
265 A,35
266 A,100
267 A,100
268 A,100
269 A,100
270 A,100
271 A,100
272 A,100
273 A,100
274 A,100
275 A,100
276 A,82.5
277 A,42.5
278 A,100
279 A,100
280 A,100
281 A,100
282 A,100
283 A,100
284 A,95
285 A,100
286 A,46.25
287 A,100
288 A,97.5
289 A,35
290 A,100
291 A,82.5
292 A,95
293 A,100
294 A,100
295 A,100
296 A,100
297 A,95
298 A,100
299 A,57.5
300 A,100
301 A,100
302 A,100
303 A,100
304 A,100
305 A,100
306 A,65
307 A,50
308 A,100
309 A,100
310 A,47.5
311 A,100
312 A,100
313 A,83.75
314 A,100
315 A,100
316 A,100
317 A,100
318 A,83.75
319 A,100
320 A,81.25
321 A,100
322 A,100
323 A,100
324 A,32.5
325 A,51.25
326 A,100
327 A,100
328 A,75
329 A,100
330 A,83.75
331 A,100
332 A,100
333 A,100
334 A,62.5
335 A,100
336 A,100
337 A,88.75
338 A,32.5
339 A,100
340 A,38.75
341 A,67.5
342 A,100
343 A,36.25
344 A,100
345 A,71.25
346 A,100
347 A,100
348 A,77.5
349 A,100
350 A,100
351 A,100
352 A,83.75
353 A,90
354 A,100
355 A,87.5
356 A,87.5
357 A,90
358 A,100
359 A,100
360 A,100
361 A,100
362 A,100
363 A,100
364 A,85
365 A,32.5
366 A,82.5
367 A,71.25
368 A,100
369 A,100
370 A,100
371 A,100
372 A,100
373 A,70
374 A,100
375 A,100
376 A,100
377 A,100
378 A,90
379 A,100
380 A,100
381 A,100
382 A,100
383 A,100
384 A,100
385 A,100
386 A,87.5
387 A,100
388 A,100
389 A,65
390 A,100
391 A,100
392 A,100
393 A,100
394 A,100
395 A,100
396 A,100
397 A,100
398 A,100
399 A,100
400 A,50
401 A,100
402 A,100
403 A,100
404 A,100
405 A,100
406 A,50
407 A,100
408 A,32.5
409 A,100
410 A,36.25
411 A,100
412 A,100
413 A,100
414 A,100
415 A,100
416 A,100
417 A,90
418 A,90
419 A,100
420 A,100
421 A,81.25
422 A,22.5
423 A,100
424 A,100
425 A,100
426 A,83.75
427 A,100
428 A,17.5
429 A,100
430 A,87.5
431 A,100
432 A,100
433 A,55
434 A,100
435 A,100
436 A,100
437 A,100
438 A,73.75
439 A,100
440 A,50
441 A,100
442 A,46.25
443 A,50
444 A,100
445 A,100
446 A,50
447 A,100
448 A,100
449 A,100
450 A,100
451 A,100
452 A,100
453 A,100
454 A,100
455 A,100
456 A,60
457 A,100
458 A,100
459 A,100
460 A,85
461 A,100
462 A,100
463 A,100
464 A,100
465 A,100
466 A,100
467 A,100
468 A,45
469 A,42.5
470 A,100
471 A,70
472 A,73.75
473 A,100
474 A,100
475 A,100
476 A,100
477 A,100
478 A,100
479 A,100
480 A,100
481 A,100
482 A,100
483 A,87.5
484 A,85
485 A,71.25
486 A,55
487 A,100
488 A,100
489 A,100
490 A,100
491 A,73.75
492 A,90
493 A,100
494 A,100
495 A,100
496 A,100
497 A,100
498 A,83.75
499 A,42.5
500 A,77.5
501 A,100
502 A,100
503 A,46.25
504 A,88.75
505 A,100
506 A,100
507 A,100
508 A,100
509 A,87.5
510 A,100
511 A,100
512 A,100
513 A,100
514 A,100
515 A,100
516 A,100
517 A,100
518 A,100
519 A,73.75
520 A,100
521 A,82.5
522 A,32.5
523 A,100
524 A,100
525 A,100
526 A,100
527 A,100
528 A,22.5
529 A,100
530 A,100
531 A,100
532 A,37.5
533 A,100
534 A,100
535 A,100
536 A,90
537 A,100
538 A,100
539 A,100
540 A,100
541 A,47.5
542 A,100
543 A,100
544 A,100
545 A,100
546 A,100
547 A,100
548 A,83.75
549 A,100
550 A,100
551 A,33.75
552 A,100
553 A,100
554 A,100
555 A,100
556 A,100
557 A,52.5
558 A,87.5
559 A,100
560 A,100
561 A,60
562 A,83.75
563 A,100
564 A,100
565 A,100
566 A,100
567 A,100
568 A,78.75
569 A,100
570 A,100
571 A,100
572 A,8.75
573 A,100
574 A,100
575 A,100
576 A,100
577 A,100
578 A,72.5
579 A,55
580 A,60
581 A,100
582 A,100
583 A,40
584 A,100
585 A,57.5
586 A,100
587 A,100
588 A,100
589 A,100
590 A,100
591 A,100
592 A,30
593 A,87.5
594 A,100
595 A,30
596 A,100
597 A,100
598 A,100
599 A,100
600 A,92.5
601 A,100
602 A,57.5
603 A,100
604 A,100
605 A,100
606 A,100
How 1,82.5
How 2,9
724 A,83.75
How 4,11.25
How 5,6.25
716 A,82.5
How 7,100
732 A,100
How 9,100
Gen 1,12.5
Gen 2,37.5
Gen 3,35
720 A,40
Gen 5,3.75
712 A,63.75
728 A,35
Gen 8,6.25
Gen 9,5
1272,37.5
240,23.75
349,30
121,25
73,28.75
1,30
95,32.5
49,32.5
166,32.5
44,35
188,35
21,37.5
28,40
165,42.5
961,47.5
1347,47.5
109,50
1224,56.25
123,32.75
75,16.25
74,28.75
943,53.75
94,22.5
433,17.5
381,32.5
481,35
1248,50
54,32.5
68,32.5
72,32.5
100,32.5
220,33.75
336,33.75
8,35
55,35
144,33.75
361,35
410,35
145,36.25
4,35
45,35
77,35
84,35
211,35
117,36.25
113,37.5
148,37.5
237,37.5
33,38.75
107,38.75
281,38.75
127,40
301,40
1105,40
1129,40
1201,40
124,38.75
56,40
89,40
93,41.25
103,41.25
312,41.25
30,42.5
149,42.5
14,45
236,45
259,45
263,45
330,45
340,45
392,45
1116,45
26,47.5
92,47.5
467,47.5
1369,47.5
128,45
64,47.5
344,47.5
468,47.5
34,50
391,50
451,50
